varietal,growing_region,certification,farm_size_ha,tree_age_years,altitude_m,yield_kg_per_ha,price_per_kg_usd
Caturra,Central,Conventional,18.3,19.5,1286,1227,10.36
Bourbon,North,Conventional,13.9,17,1186,1545,5.12
Catuai,South,Conventional,16.1,19.3,1547,1038,13.15
Bourbon,South,Conventional,15.4,16.1,1120,1307,6.57
Gesha,North,Conventional,17,16.7,1640,800,16.07
Catuai,North,Organic,11.2,14.1,1564,1361,10.32
Bourbon,North,Organic,12.4,12.3,1196,1554,4.36
Gesha,Central,Conventional,14.5,15.8,1573,984,14.71
Typica,North,Organic,14.8,16.4,1436,1304,10.2
Caturra,South,Conventional,9.4,13.3,1199,1419,6.16
Typica,Central,Conventional,16.4,18.9,1419,1237,10.86
Caturra,North,Organic,10.6,13,1157,1419,7.29
Gesha,North,Conventional,10.4,14.2,1565,1188,12.44
Catuai,Central,Organic,11.2,12.8,1414,1064,11.55
Bourbon,South,Conventional,12.9,17.1,1110,1456,5.55
Typica,South,Organic,13.5,15.3,1256,1075,12.17
Caturra,North,Conventional,13.5,17.2,1090,1061,10.48
Gesha,Central,Conventional,10,11.3,1724,1373,10.44
Bourbon,Central,Conventional,9.8,12.1,980,1542,5.43
Caturra,North,Organic,10.1,13.4,1217,1579,6.49
Caturra,Central,Conventional,16,16.8,1186,1113,9.96
Gesha,South,Organic,18.8,19.3,1564,695,17.32
Typica,South,Conventional,8.8,12.4,1372,1580,7.29
Gesha,North,Conventional,15.8,14.2,1594,841,15.67
Gesha,North,Organic,14.1,16.4,1667,1232,12.97
Caturra,South,Conventional,13.3,16.5,1244,1452,8.18
Gesha,Central,Conventional,15.5,15.4,1478,667,17.16
Bourbon,Central,Organic,9.6,11.5,1039,1458,4.83
Typica,South,Conventional,12,12.8,1392,1344,9.99
Typica,South,Organic,9.3,11.8,1279,1292,9.65
Caturra,North,Conventional,16.6,17.3,1173,1090,10.49
Caturra,South,Organic,14.3,17,1405,1351,6.78
Gesha,South,Conventional,10.4,12.5,1564,1130,12.8
Bourbon,North,Organic,13.6,14.9,1030,1420,6.38
Bourbon,North,Organic,11.4,14.6,1014,1402,5.61
Catuai,North,Conventional,18.7,21.4,1401,989,15.65
Caturra,North,Conventional,17.5,17.5,1289,1168,9.94
Bourbon,Central,Conventional,18,19.5,1107,1256,8.27
Gesha,Central,Conventional,5.2,9.7,1592,1500,9.92
Caturra,South,Conventional,12.6,16.3,1207,1324,8.2
Catuai,South,Organic,10.7,11.7,1494,1279,10.17
Typica,South,Organic,9.5,11.9,1362,1459,7.95
Bourbon,North,Organic,15,16.7,1215,1481,4.92
Typica,North,Conventional,16.1,17.8,1348,975,12.01
Caturra,Central,Organic,11.4,14.4,1271,1666,7.05
Catuai,North,Organic,13.7,15.8,1431,1072,12.49
Caturra,Central,Organic,3.5,7.5,1187,1780,3.39
Bourbon,Central,Organic,10.4,13.3,1073,1523,4.63
Typica,South,Conventional,16.1,18.9,1360,1077,11.55
Catuai,Central,Conventional,18.3,20.3,1464,892,15.53
Catuai,South,Organic,16.4,18.8,1437,852,14.31
Caturra,North,Organic,14.1,16.1,1140,1281,9.56
Typica,North,Conventional,12.2,13.9,1415,1333,8.92
Typica,North,Conventional,10.3,14.8,1399,1468,8.38
Bourbon,South,Conventional,11.8,15,961,1373,6.5
Catuai,Central,Conventional,11,11.2,1373,1054,12.54
Caturra,North,Conventional,19.1,19.6,1183,1059,11.69
Gesha,Central,Conventional,12,15.4,1458,899,14.99
Typica,North,Organic,15.3,16.7,1578,1354,8.09
Typica,Central,Conventional,6,8.5,1352,1676,6.79
Caturra,South,Conventional,10.9,13.2,1293,1469,5.93
Gesha,South,Organic,12.2,16.4,1517,1020,13.95
Typica,South,Organic,10.3,12.6,1461,1435,7.77
Caturra,North,Conventional,13.6,17.7,1165,1345,8.85
Catuai,South,Conventional,8.8,9.6,1499,1450,10.23
Caturra,South,Conventional,15.8,15.9,1286,1192,8.52
Bourbon,North,Conventional,5.8,10.1,978,1700,2.73
Bourbon,North,Organic,7.9,10.1,1109,1758,3.11
Gesha,Central,Organic,8,9.3,1571,1197,11.3
Gesha,North,Conventional,13.9,16.9,1560,967,14.75
Typica,South,Organic,11.7,12.1,1424,1311,8.67
Catuai,South,Conventional,12.6,16.8,1393,985,12.76
Typica,South,Conventional,9.7,12.8,1402,1309,7.8
Caturra,North,Conventional,18.5,17.2,1295,1384,9.62
Typica,South,Organic,11.6,11.5,1374,1369,9.27
Bourbon,North,Conventional,13.5,15.3,1070,1426,6.23
Typica,South,Conventional,16.4,17.7,1271,989,12.97
Caturra,South,Organic,15.3,18.1,1245,1266,9.31
Bourbon,South,Conventional,14.1,15.5,1013,1325,7.32
Bourbon,North,Conventional,12.7,16.7,1031,1302,6.32
Caturra,North,Organic,10.4,11.9,1153,1407,7.66
Catuai,North,Organic,13.8,17.3,1429,1146,12.9
Gesha,South,Conventional,16,17.4,1612,983,14.97
Bourbon,North,Organic,12,12.6,985,1329,6.72
Catuai,North,Conventional,13.8,12.8,1482,1052,13.07
Catuai,North,Organic,11.7,12.8,1351,959,12.81
Bourbon,North,Conventional,9.6,12.6,942,1505,5.36
Typica,North,Conventional,12.2,15.8,1434,1350,8.73
Catuai,North,Organic,11.6,12.6,1471,1193,11.6
Catuai,South,Conventional,13,14.8,1502,1253,11.6
Caturra,South,Conventional,11.6,12.1,1219,1401,7.37
Caturra,Central,Conventional,17.5,17.9,1218,1253,10.01
Gesha,Central,Organic,20.2,21.8,1630,847,17.5
Caturra,Central,Conventional,14.3,16,1262,1399,8.57
Bourbon,South,Conventional,10.2,14.7,1034,1487,4.53
Gesha,Central,Conventional,14.3,16.2,1683,1076,13.34
Caturra,South,Organic,7.8,11.3,1290,1672,4.4
Typica,South,Conventional,8.4,11.1,1362,1583,7.46
Bourbon,South,Conventional,12.1,13.1,1046,1485,5.33
Typica,South,Conventional,18.5,22.9,1314,952,13.98
Caturra,North,Organic,13.4,13.7,1270,1361,7.76
Gesha,Central,Organic,13.1,14.5,1555,977,14.08
Typica,Central,Conventional,10.3,12.9,1357,1420,8.5
Bourbon,South,Conventional,6,10.8,1074,1755,2.25
Typica,North,Conventional,14.7,18.6,1342,1093,11.96
Typica,South,Organic,17.6,19.1,1496,1201,11.23
Catuai,South,Organic,9.6,11.8,1458,1489,9.88
Bourbon,Central,Conventional,9.1,11.5,1126,1630,3.4
Bourbon,South,Conventional,13,14.2,1027,1353,5.94
Catuai,Central,Conventional,10.4,11.7,1347,1194,11.85
Catuai,North,Conventional,9.8,12.2,1581,1319,9.37
Typica,Central,Organic,9,11.6,1516,1596,6.58
Gesha,Central,Conventional,11.2,12.8,1668,1106,11.76
Caturra,North,Conventional,9.7,12.4,1275,1538,5.46
Typica,North,Organic,14.2,15.8,1277,1024,12.62
Catuai,North,Organic,16,16.4,1483,1138,13.29
Caturra,Central,Conventional,12,12.9,1282,1359,6.84
Bourbon,North,Organic,11.4,13.5,1098,1550,3.98
Caturra,South,Conventional,14.7,17.8,1219,1149,9.2
Typica,South,Organic,11.3,14.8,1415,1378,8.25
Gesha,Central,Conventional,14.3,14.9,1579,785,15.16
Caturra,South,Organic,13.5,16.1,1051,1176,10.6
Catuai,North,Conventional,11.4,13.3,1523,1324,10.72
Catuai,North,Organic,16.4,16.6,1461,1091,13.92
Typica,South,Conventional,13.3,13.3,1241,1142,12.3
Bourbon,South,Conventional,18.5,20.8,1050,1099,9.01
